last_name	first_name	middle_name	suffix	nickname	full_name	birthday	gender	type	state	dummy	state_pop_2019	senate_class	party	ginsberg_vote
Murkowski	Lisa	A.			Lisa Murkowski	5/22/57	F	sen	AK	1	731545	3	Republican	No
Sullivan	Dan				Dan Sullivan	11/13/64	M	sen	AK	2	731545	2	Republican	Yes
Shelby	Richard	C.			Richard C. Shelby	5/6/34	M	sen	AL	1	4903185	3	Republican	Yes
Jones	Doug				Doug Jones	5/4/54	M	sen	AL	2	4903185	2	Democrat	No
Boozman	John				John Boozman	12/10/50	M	sen	AR	1	3017804	3	Republican	Yes
Cotton	Tom				Tom Cotton	5/13/77	M	sen	AR	2	3017804	2	Republican	Yes
Sinema	Kyrsten				Kyrsten Sinema	7/12/76	F	sen	AZ	1	7278717	1	Democrat	No
McSally	Martha				Martha McSally	3/22/66	F	sen	AZ	2	7278717	3	Republican	Yes
Feinstein	Dianne				Dianne Feinstein	6/22/33	F	sen	CA	1	39512223	1	Democrat	No
Harris	Kamala				Kamala D. Harris	10/20/64	F	sen	CA	2	39512223	3	Democrat	No
Bennet	Michael	F.			Michael F. Bennet	11/28/64	M	sen	CO	1	5758736	3	Democrat	No
Gardner	Cory				Cory Gardner	8/22/74	M	sen	CO	2	5758736	2	Republican	Yes
Blumenthal	Richard				Richard Blumenthal	2/13/46	M	sen	CT	1	3565287	3	Democrat	No
Murphy	Christopher	S.			Christopher Murphy	8/3/73	M	sen	CT	2	3565287	1	Democrat	No
Carper	Thomas	Richard			Thomas R. Carper	1/23/47	M	sen	DE	1	973764	1	Democrat	No
Coons	Chris	Andrew			Christopher A. Coons	9/9/63	M	sen	DE	2	973764	2	Democrat	No
Rubio	Marco				Marco Rubio	5/28/71	M	sen	FL	1	21477737	3	Republican	Yes
Scott	Rick				Rick Scott	12/1/52	M	sen	FL	2	21477737	1	Republican	Yes
Perdue	David				David Perdue	12/10/49	M	sen	GA	1	10617423	2	Republican	Yes
Loeffler	Kelly				Kelly Loeffler	11/27/70	F	sen	GA	2	10617423	3	Republican	Yes
