id,state,code,col,row,s1_control_116,s2_control_116,s1_control_115,s2_control_115,s1_control_114,s2_control_114
35,Alabama,AL,6,6,Democrat,Republican,Democrat,Republican,Republican,Republican
1,Alaska,AK,0,0,Republican,Republican,Republican,Republican,Republican,Republican
9,Arizona,AZ,1,5,Democrat,Republican,Republican,Republican,Republican,Republican
23,Arkansas,AR,4,5,Republican,Republican,Republican,Republican,Republican,Republican
4,California,CA,0,4,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
12,Colorado,CO,2,4,Republican,Democrat,Republican,Democrat,Republican,Democrat
46,Connecticut,CT,9,3,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
47,Delaware,DE,9,4,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
43,Florida,FL,8,7,Republican,Republican,Democrat,Republican,Democrat,Republican
39,Georgia,GA,7,6,Republican,Republican,Republican,Republican,Republican,Republican
5,Hawaii,HI,0,7,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
6,Idaho,ID,1,2,Republican,Republican,Republican,Republican,Republican,Republican
26,Illinois,IL,5,2,Democrat,Democrat,Democrat,Democrat,Republican,Democrat
27,Indiana,IN,5,3,Republican,Republican,Democrat,Republican,Republican,Democrat
21,Iowa,IA,4,3,Republican,Republican,Republican,Republican,Republican,Republican
17,Kansas,KS,3,5,Republican,Republican,Republican,Republican,Republican,Republican
28,Kentucky,KY,5,4,Republican,Republican,Republican,Republican,Republican,Republican
24,Louisiana,LA,4,6,Republican,Republican,Republican,Republican,Republican,Republican
48,Maine,ME,10,0,Independent,Republican,Independent,Republican,Independent,Republican
42,Maryland,MD,8,4,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
45,Massachusetts,MA,9,2,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
31,Michigan,MI,6,2,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
20,Minnesota,MN,4,2,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
30,Mississippi,MS,5,6,Republican,Republican,Republican,Republican,Republican,Republican
22,Missouri,MO,4,4,Republican,Republican,Democrat,Republican,Democrat,Republican
10,Montana,MT,2,2,Democrat,Republican,Democrat,Republican,Democrat,Republican
16,Nebraska,NE,3,4,Republican,Republican,Republican,Republican,Republican,Republican
7,Nevada,NV,1,3,Democrat,Democrat,Democrat,Republican,Republican,Democrat
49,New Hampshire,NH,10,1,Democrat,Democrat,Democrat,Democrat,Democrat,Republican
41,New Jersey,NJ,8,3,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
13,New Mexico,NM,2,5,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
40,New York,NY,8,2,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
34,North Carolina,NC,6,5,Republican,Republican,Republican,Republican,Republican,Republican
14,North Dakota,ND,3,2,Republican,Republican,Democrat,Republican,Democrat,Republican
32,Ohio,OH,6,3,Republican,Democrat,Republican,Democrat,Republican,Democrat
18,Oklahoma,OK,3,6,Republican,Republican,Republican,Republican,Republican,Republican
3,Oregon,OR,0,3,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
36,Pennsylvania,PA,7,3,Republican,Democrat,Republican,Democrat,Republican,Democrat
50,Rhode Island,RI,10,3,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
38,South Carolina,SC,7,5,Republican,Republican,Republican,Republican,Republican,Republican
15,South Dakota,SD,3,3,Republican,Republican,Republican,Republican,Republican,Republican
29,Tennessee,TN,5,5,Republican,Republican,Republican,Republican,Republican,Republican
19,Texas,TX,3,7,Republican,Republican,Republican,Republican,Republican,Republican
8,Utah,UT,1,4,Republican,Republican,Republican,Republican,Republican,Republican
44,Vermont,VT,9,1,Independent,Democrat,Independent,Democrat,Independent,Democrat
37,Virginia,VA,7,4,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
2,Washington,WA,0,2,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
33,West Virginia,WV,6,4,Democrat,Republican,Democrat,Republican,Democrat,Republican
25,Wisconsin,WI,5,1,Republican,Democrat,Republican,Democrat,Republican,Democrat
11,Wyoming,WY,2,3,Republican,Republican,Republican,Republican,Republican,Republican
