Region,Country,2020,2060,2100
Sub-Saharan Africa,Burundi,11890.781,30700.524,50904.072
Sub-Saharan Africa,Comoros,869.595,1665.915,2186.509
Sub-Saharan Africa,Djibouti,988.002,1345.828,1331.656
Sub-Saharan Africa,Eritrea,3546.427,6836.127,9061.777
Sub-Saharan Africa,Ethiopia,114963.583,232994.396,294392.903
Sub-Saharan Africa,Kenya,53771.3,102398.265,125423.855
Sub-Saharan Africa,Madagascar,27691.019,64058.826,99957.34
Sub-Saharan Africa,Malawi,19129.955,45059.724,66559.386
Sub-Saharan Africa,Mauritius,1271.767,1116.234,827.303
Sub-Saharan Africa,Mayotte,272.813,564.326,745.691
Sub-Saharan Africa,Mozambique,31255.435,78358.129,123646.947
Sub-Saharan Africa,Réunion,895.308,1003.083,901.249
Sub-Saharan Africa,Rwanda,12952.209,26191.924,33412.643
Sub-Saharan Africa,Seychelles,98.34,102.132,88.327
Sub-Saharan Africa,Somalia,15893.219,43128.355,75716.429
Sub-Saharan Africa,South Sudan,11193.729,23011.842,31738.064
Sub-Saharan Africa,Uganda,45741,103519.994,136784.876
Sub-Saharan Africa,United Republic of Tanzania,59734.213,158869.156,285651.846
Sub-Saharan Africa,Zambia,18383.956,47485.58,81546.198
Sub-Saharan Africa,Zimbabwe,14862.927,26477.35,30965.421
Sub-Saharan Africa,Angola,32866.268,97343.443,188283.132
Sub-Saharan Africa,Cameroon,26545.864,59426.513,90225.178
Sub-Saharan Africa,Central African Republic,4829.764,9495.69,11631.41
Sub-Saharan Africa,Chad,16425.859,40562.704,61849.82
Sub-Saharan Africa,Congo,5518.092,12737.461,20961.987
Sub-Saharan Africa,Democratic Republic of the Congo,89561.404,234145.629,362031.082
Sub-Saharan Africa,Equatorial Guinea,1402.985,3276.547,4510.631
Sub-Saharan Africa,Gabon,2225.728,4323.454,5859.225
Sub-Saharan Africa,Sao Tome and Principe,219.161,462.424,708.097
Sub-Saharan Africa,Botswana,2351.625,3772.518,4165.861
Sub-Saharan Africa,Eswatini,1160.164,1864.598,2145.198
Sub-Saharan Africa,Lesotho,2142.252,2775.445,2695.438
Sub-Saharan Africa,Namibia,2540.916,4410.223,5373.589
Sub-Saharan Africa,South Africa,59308.69,78172.048,79190.832
Sub-Saharan Africa,Benin,12123.198,29055.581,47208.998
Sub-Saharan Africa,Burkina Faso,20903.278,52151.571,83194.233
Sub-Saharan Africa,Cabo Verde,555.988,688.12,603.949
Sub-Saharan Africa,Côte d'Ivoire,26378.275,60923.612,96632.721
Sub-Saharan Africa,Gambia,2416.664,5736.538,8175.553
