Source_Name,Target_Name,Source,Target,Weight,Type
JGRoberts,CThomas,0,1,72,Undirected
JGRoberts,RBGinsburg,0,2,73,Undirected
JGRoberts,SGBreyer,0,3,77,Undirected
JGRoberts,SAAlito,0,4,77,Undirected
JGRoberts,SSotomayor,0,5,70,Undirected
JGRoberts,EKagan,0,6,80,Undirected
JGRoberts,NMGorsuch,0,7,85,Undirected
JGRoberts,BMKavanaugh,0,8,92,Undirected
CThomas,RBGinsburg,1,2,52,Undirected
CThomas,SGBreyer,1,3,55,Undirected
CThomas,SAAlito,1,4,92,Undirected
CThomas,SSotomayor,1,5,45,Undirected
CThomas,EKagan,1,6,52,Undirected
CThomas,NMGorsuch,1,7,80,Undirected
CThomas,BMKavanaugh,1,8,77,Undirected
RBGinsburg,SGBreyer,2,3,93,Undirected
RBGinsburg,SAAlito,2,4,53,Undirected
RBGinsburg,SSotomayor,2,5,87,Undirected
RBGinsburg,EKagan,2,6,85,Undirected
RBGinsburg,NMGorsuch,2,7,65,Undirected
RBGinsburg,BMKavanaugh,2,8,68,Undirected
SGBreyer,SAAlito,3,4,57,Undirected
SGBreyer,SSotomayor,3,5,83,Undirected
SGBreyer,EKagan,3,6,88,Undirected
SGBreyer,NMGorsuch,3,7,68,Undirected
SGBreyer,BMKavanaugh,3,8,72,Undirected
SAAlito,SSotomayor,4,5,47,Undirected
SAAlito,EKagan,4,6,57,Undirected
SAAlito,NMGorsuch,4,7,78,Undirected
SAAlito,BMKavanaugh,4,8,78,Undirected
SSotomayor,EKagan,5,6,85,Undirected
SSotomayor,NMGorsuch,5,7,65,Undirected
SSotomayor,BMKavanaugh,5,8,65,Undirected
EKagan,NMGorsuch,6,7,68,Undirected
EKagan,BMKavanaugh,6,8,72,Undirected
NMGorsuch,BMKavanaugh,7,8,87,Undirected
