iso_code,continent,location,date,total_cases_per_million,population_density
AFG,Asia,Afghanistan,8/31/20,980.314,54.422
ALB,Europe,Albania,8/31/20,3259.434,104.871
DZA,Africa,Algeria,8/31/20,1006.726,17.348
AND,Europe,Andorra,8/31/20,14547.337,163.755
AGO,Africa,Angola,8/31/20,79.839,23.89
AIA,North America,Anguilla,8/31/20,199.973,
ATG,North America,Antigua and Barbuda,8/31/20,959.889,231.845
ARG,South America,Argentina,8/31/20,8877.511,16.177
ARM,Asia,Armenia,8/31/20,14764.274,102.931
ABW,North America,Aruba,8/31/20,18704.456,584.8
AUS,Oceania,Australia,8/31/20,1006.671,3.202
AUT,Europe,Austria,8/31/20,3022.073,106.749
AZE,Asia,Azerbaijan,8/31/20,3581.061,119.309
BHS,North America,Bahamas,8/31/20,5510.518,39.497
BHR,Asia,Bahrain,8/31/20,30309.424,1935.907
BGD,Asia,Bangladesh,8/31/20,1887.323,1265.036
BRB,North America,Barbados,8/31/20,602.009,664.463
BLR,Europe,Belarus,8/31/20,7586.471,46.858
BEL,Europe,Belgium,8/31/20,7367.026,375.564
BLZ,North America,Belize,8/31/20,2499.868,16.426
BEN,Africa,Benin,8/31/20,176.934,99.11
BMU,North America,Bermuda,8/31/20,2713.857,1308.82
BTN,Asia,Bhutan,8/31/20,290.301,21.188
BOL,South America,Bolivia,8/31/20,9934.696,10.202
BES,North America,Bonaire Sint Eustatius and Saba,8/31/20,572.061,
BIH,Europe,Bosnia and Herzegovina,8/31/20,6031.733,68.496
BWA,Africa,Botswana,8/31/20,694.413,4.044
BRA,South America,Brazil,8/31/20,18170.501,25.04
VGB,North America,British Virgin Islands,8/31/20,1223.666,207.973
BRN,Asia,Brunei,8/31/20,329.156,81.347
BGR,Europe,Bulgaria,8/31/20,2330.018,65.18
BFA,Africa,Burkina Faso,8/31/20,65.444,70.151
BDI,Africa,Burundi,8/31/20,37.424,423.062
KHM,Asia,Cambodia,8/31/20,16.389,90.672
CMR,Africa,Cameroon,8/31/20,721.092,50.885
CAN,North America,Canada,8/31/20,3389.843,4.037
CPV,Africa,Cape Verde,8/31/20,6928.207,135.58
CYM,North America,Cayman Islands,8/31/20,3119.294,256.496
CAF,Africa,Central African Republic,8/31/20,973.132,7.479
TCD,Africa,Chad,8/31/20,61.61,11.833
CHL,South America,Chile,8/31/20,21446.407,24.282
CHN,Asia,China,8/31/20,62.456,147.674
COL,South America,Colombia,8/31/20,11947.79,44.223
COM,Africa,Comoros,8/31/20,486.433,437.352
COG,Africa,Congo,8/31/20,721.083,15.405
CRI,North America,Costa Rica,8/31/20,7793.112,96.079
CIV,Africa,Cote d'Ivoire,8/31/20,680.408,76.399
HRV,Europe,Croatia,8/31/20,2465.856,73.726
CUB,North America,Cuba,8/31/20,350.767,110.408
CUW,North America,Curacao,8/31/20,347.349,362.644
CYP,Europe,Cyprus,8/31/20,1697.684,127.657
CZE,Europe,Czech Republic,8/31/20,2275.38,137.176
COD,Africa,Democratic Republic of Congo,8/31/20,112.147,35.879
DNK,Europe,Denmark,8/31/20,2883.186,136.52
DJI,Africa,Djibouti,8/31/20,5450.394,41.285
DMA,North America,Dominica,8/31/20,277.813,98.567
DOM,North America,Dominican Republic,8/31/20,8687.485,222.873
ECU,South America,Ecuador,8/31/20,6441.513,66.939
EGY,Africa,Egypt,8/31/20,964.749,97.999
SLV,North America,El Salvador,8/31/20,3966.729,307.811
GNQ,Africa,Equatorial Guinea,8/31/20,3521.777,45.194
ERI,Africa,Eritrea,8/31/20,89.668,44.304
EST,Europe,Estonia,8/31/20,1788.866,31.033
ETH,Africa,Ethiopia,8/31/20,444.68,104.957
FRO,Europe,Faeroe Islands,8/31/20,8410.928,35.308
FLK,South America,Falkland Islands,8/31/20,3732.415,
FJI,Oceania,Fiji,8/31/20,31.235,49.562
FIN,Europe,Finland,8/31/20,1457.753,18.136
FRA,Europe,France,8/31/20,4258.128,122.578
PYF,Oceania,French Polynesia,8/31/20,1495.173,77.324
GAB,Africa,Gabon,8/31/20,3821.222,7.859
GMB,Africa,Gambia,8/31/20,1226.07,207.566
GEO,Asia,Georgia,8/31/20,372.759,65.032
DEU,Europe,Germany,8/31/20,2892.929,237.016
GHA,Africa,Ghana,8/31/20,1422.62,126.719
GIB,Europe,Gibraltar,8/31/20,8459.232,3457.1
GRC,Europe,Greece,8/31/20,972.268,83.479
GRL,North America,Greenland,8/31/20,246.6,0.137
GRD,North America,Grenada,8/31/20,213.297,317.132
GUM,Oceania,Guam,8/31/20,7980.662,304.128
GTM,North America,Guatemala,8/31/20,4125.574,157.834
GGY,Europe,Guernsey,8/31/20,3758.277,
GIN,Africa,Guinea,8/31/20,713.557,51.755
GNB,Africa,Guinea-Bissau,8/31/20,1120.428,66.191
GUY,South America,Guyana,8/31/20,1568.859,3.952
HTI,North America,Haiti,8/31/20,719.928,398.448
HND,North America,Honduras,8/31/20,6075.354,82.805
HUN,Europe,Hungary,8/31/20,617.058,108.043
ISL,Europe,Iceland,8/31/20,6168.498,3.404
IND,Asia,India,8/31/20,2624.082,450.419
IDN,Asia,Indonesia,8/31/20,629.024,145.725
IRN,Asia,Iran,8/31/20,4447.635,49.831
IRQ,Asia,Iraq,8/31/20,5747.454,88.125
IRL,Europe,Ireland,8/31/20,5824.461,69.874
IMN,Europe,Isle of Man,8/31/20,3951.454,147.872
ISR,Asia,Israel,8/31/20,13173.065,402.606
ITA,Europe,Italy,8/31/20,4436.154,205.859
JAM,North America,Jamaica,8/31/20,795.972,266.879
JPN,Asia,Japan,8/31/20,536.582,347.778
JEY,Europe,Jersey,8/31/20,3700.296,
JOR,Asia,Jordan,8/31/20,192.686,109.285
KAZ,Asia,Kazakhstan,8/31/20,6959.314,6.681
KEN,Africa,Kenya,8/31/20,633.368,87.324
OWID_KOS,Europe,Kosovo,8/31/20,6815.075,168.155
KWT,Asia,Kuwait,8/31/20,19818.464,232.128
KGZ,Asia,Kyrgyzstan,8/31/20,6728.497,32.333
LAO,Asia,Laos,8/31/20,3.024,29.715
LVA,Europe,Latvia,8/31/20,738.521,31.212
LBN,Asia,Lebanon,8/31/20,2471.635,594.561
LSO,Africa,Lesotho,8/31/20,497.607,73.562
LBR,Africa,Liberia,8/31/20,257.826,49.127
LBY,Africa,Libya,8/31/20,1953.491,3.623
LIE,Europe,Liechtenstein,8/31/20,2831.896,237.012
LTU,Europe,Lithuania,8/31/20,1055.728,45.135
LUX,Europe,Luxembourg,8/31/20,10583.473,231.447
MKD,Europe,Macedonia,8/31/20,6684.81,82.6
MDG,Africa,Madagascar,8/31/20,536.022,43.951
MWI,Africa,Malawi,8/31/20,289.389,197.519
MYS,Asia,Malaysia,8/31/20,288.389,96.254
MDV,Asia,Maldives,8/31/20,14183.912,1454.433
MLI,Africa,Mali,8/31/20,136.933,15.196
MLT,Europe,Malta,8/31/20,4217.068,1454.037
MRT,Africa,Mauritania,8/31/20,1510.218,4.289
MUS,Africa,Mauritius,8/31/20,272.062,622.962
MEX,North America,Mexico,8/31/20,4621.332,66.444
MDA,Europe,Moldova,8/31/20,9097.753,123.655
MCO,Europe,Monaco,8/31/20,3338.09,19347.5
MNG,Asia,Mongolia,8/31/20,91.816,1.98
MNE,Europe,Montenegro,8/31/20,7626.636,46.28
MSR,North America,Montserrat,8/31/20,2600.52,
MAR,Africa,Morocco,8/31/20,1663.454,80.08
MOZ,Africa,Mozambique,8/31/20,122.251,37.728
MMR,Asia,Myanmar,8/31/20,14.464,81.721
NAM,Africa,Namibia,8/31/20,2898.561,3.078
NPL,Asia,Nepal,8/31/20,1323.446,204.43
NLD,Europe,Netherlands,8/31/20,4089.38,508.544
NCL,Oceania,New Caledonia,8/31/20,80.563,15.342
NZL,Oceania,New Zealand,8/31/20,287.626,18.206
NIC,North America,Nicaragua,8/31/20,678.385,51.667
NER,Africa,Niger,8/31/20,48.582,16.955
NGA,Africa,Nigeria,8/31/20,261.304,209.588
MNP,Oceania,Northern Mariana Islands,8/31/20,972.949,119.878
NOR,Europe,Norway,8/31/20,1944.757,14.462
OMN,Asia,Oman,8/31/20,16751.583,14.98
PAK,Asia,Pakistan,8/31/20,1339.336,255.573
PSE,Asia,Palestine,8/31/20,5697.046,778.202
PAN,North America,Panama,8/31/20,21337.184,55.133
PNG,Oceania,Papua New Guinea,8/31/20,51.302,18.22
PRY,South America,Paraguay,8/31/20,2410.786,17.144
PER,South America,Peru,8/31/20,19627.836,25.129
PHL,Asia,Philippines,8/31/20,1983.883,351.873
POL,Europe,Poland,8/31/20,1766.869,124.027
PRT,Europe,Portugal,8/31/20,5665.358,112.371
PRI,North America,Puerto Rico,8/31/20,11481.942,376.232
QAT,Asia,Qatar,8/31/20,41156.727,227.322
ROU,Europe,Romania,8/31/20,4511.198,85.129
RUS,Europe,Russia,8/31/20,6786.101,8.823
RWA,Africa,Rwanda,8/31/20,310.372,494.869
KNA,North America,Saint Kitts and Nevis,8/31/20,319.597,212.865
LCA,North America,Saint Lucia,8/31/20,141.59,293.187
VCT,North America,Saint Vincent and the Grenadines,8/31/20,540.799,281.787
SMR,Europe,San Marino,8/31/20,20920.502,556.667
STP,Africa,Sao Tome and Principe,8/31/20,4088.319,212.841
SAU,Asia,Saudi Arabia,8/31/20,9042.977,15.322
SEN,Africa,Senegal,8/31/20,809.607,82.328
SRB,Europe,Serbia,8/31/20,4609.385,80.291
SYC,Africa,Seychelles,8/31/20,1382.957,208.354
SLE,Africa,Sierra Leone,8/31/20,253.479,104.7
SGP,Asia,Singapore,8/31/20,9703.875,7915.731
SXM,North America,Sint Maarten (Dutch part),8/31/20,10797.071,1209.088
SVK,Europe,Slovakia,8/31/20,709.937,113.128
SVN,Europe,Slovenia,8/31/20,1378.111,102.619
SOM,Africa,Somalia,8/31/20,208.265,23.5
ZAF,Africa,South Africa,8/31/20,10539.029,46.754
KOR,Asia,South Korea,8/31/20,389.064,527.967
SSD,Africa,South Sudan,8/31/20,225.037,
ESP,Europe,Spain,8/31/20,9899.693,93.105
LKA,Asia,Sri Lanka,8/31/20,140.661,341.955
SDN,Africa,Sudan,8/31/20,300.78,23.258
SUR,South America,Suriname,8/31/20,6833.903,3.612
SWZ,Africa,Swaziland,8/31/20,3931.341,79.492
SWE,Europe,Sweden,8/31/20,8340.306,24.718
CHE,Europe,Switzerland,8/31/20,4842.039,214.243
SYR,Asia,Syria,8/31/20,154.451,
TWN,Asia,Taiwan,8/31/20,20.49,
TJK,Asia,Tajikistan,8/31/20,896.448,64.281
TZA,Africa,Tanzania,8/31/20,8.521,64.699
THA,Asia,Thailand,8/31/20,48.883,135.132
TLS,Asia,Timor,8/31/20,20.479,87.176
TGO,Africa,Togo,8/31/20,168.625,143.366
TTO,North America,Trinidad and Tobago,8/31/20,1202.58,266.886
TUN,Africa,Tunisia,8/31/20,311.796,74.228
TUR,Asia,Turkey,8/31/20,3184.123,104.914
TCA,North America,Turks and Caicos Islands,8/31/20,13094.685,37.312
UGA,Africa,Uganda,8/31/20,64.013,213.759
UKR,Europe,Ukraine,8/31/20,2722.702,77.39
ARE,Asia,United Arab Emirates,8/31/20,7046.227,112.442
GBR,Europe,United Kingdom,8/31/20,4926.892,272.898
USA,North America,United States,8/31/20,18118.172,35.608
VIR,North America,United States Virgin Islands,8/31/20,10859.677,306.48
URY,South America,Uruguay,8/31/20,456.282,19.751
UZB,Asia,Uzbekistan,8/31/20,1244.458,76.134
VAT,Europe,Vatican,8/31/20,14833.127,
VEN,South America,Venezuela,8/31/20,1613.029,36.253
VNM,Asia,Vietnam,8/31/20,10.684,308.127
ESH,Africa,Western Sahara,8/31/20,1282.373,
YEM,Asia,Yemen,8/31/20,65.48,53.508
ZMB,Africa,Zambia,8/31/20,654.103,22.995
ZWE,Africa,Zimbabwe,8/31/20,431.409,42.729
