district,col,row,rlean
AK-1,1,1,15.52
AL-1,1,1,28.78
AL-2,1,1,31.15
AL-3,1,1,31.55
AL-4,1,1,60.1
AL-5,1,1,32.99
AL-6,1,1,47.44
AL-7,1,1,-41.48
AR-1,1,1,31.56
AR-2,1,1,11.2
AR-3,1,1,32.36
AR-4,1,1,30.69
AZ-1,1,1,3.79
AZ-2,1,1,-0.54
AZ-3,1,1,-25.82
AZ-4,1,1,41.24
AZ-5,1,1,26.08
AZ-6,1,1,15.81
AZ-7,1,1,-45.47
AZ-8,1,1,24.61
AZ-9,1,1,-10.13
CA-1,1,1,23.88
CA-10,1,1,2.2
CA-11,1,1,-39.96
CA-12,1,1,-71.11
CA-13,1,1,-75.62
CA-14,1,1,-51.09
CA-15,1,1,-38.07
CA-16,1,1,-15.44
CA-17,1,1,-46.06
CA-18,1,1,-43.52
CA-19,1,1,-44.13
CA-2,1,1,-39.35
CA-20,1,1,-41.28
CA-21,1,1,-8.65
CA-22,1,1,16.7
CA-23,1,1,28.41
CA-24,1,1,-11.76
CA-25,1,1,1.54
CA-26,1,1,-12.66
CA-27,1,1,-29.02
CA-28,1,1,-42.74
CA-29,1,1,-54.59
CA-3,1,1,-6.74
CA-30,1,1,-34.82
CA-31,1,1,-14.24
CA-32,1,1,-31.62
CA-33,1,1,-30.24
CA-34,1,1,-67.03
CA-35,1,1,-34.28
CA-36,1,1,-1.53
CA-37,1,1,-70.35
CA-38,1,1,-31.82
CA-39,1,1,0.9
CA-4,1,1,21.27
CA-40,1,1,-63.3
CA-41,1,1,-21.69
CA-42,1,1,18.39
CA-43,1,1,-55.65
CA-44,1,1,-66.27
CA-45,1,1,5.73
CA-46,1,1,-28.75
CA-47,1,1,-23.27
CA-48,1,1,8.16
CA-49,1,1,2.57
CA-5,1,1,-38.88
CA-50,1,1,22.92
CA-51,1,1,-41.08
CA-52,1,1,-11.76
CA-53,1,1,-26.33
CA-6,1,1,-38.34
CA-7,1,1,-3.53
CA-8,1,1,20.04
CA-9,1,1,-12.93
CO-1,1,1,-39
CO-2,1,1,-15.13
CO-3,1,1,15.22
CO-4,1,1,26.96
CO-5,1,1,28.04
CO-6,1,1,-2.38
CO-7,1,1,-7.69
CT-1,1,1,-19.61
CT-2,1,1,-1.31
CT-3,1,1,-14.06
CT-4,1,1,-13.99
CT-5,1,1,-0.41
DE-1,1,1,-12.13
FL-1,1,1,44.25
