state,col,row,rlean,electors
Alabama,1,1,27,9
Alaska,1,1,16,3
Arizona,1,1,8,11
Arkansas,1,1,26,6
California,1,1,-22,55
Colorado,1,1,0,9
Connecticut,1,1,-10,7
Delaware,1,1,-12,3
District of Columbia,1,1,-100,3
Florida,1,1,6,29
Georgia,1,1,13,16
Hawaii,1,1,-36,4
Idaho,1,1,33,4
Illinois,1,1,-13,20
Indiana,1,1,17,11
Iowa,1,1,9,6
Kansas,1,1,21,6
Kentucky,1,1,24,8
Louisiana,1,1,19,8
Maine (statewide),1,1,-3,2
Maine (1st district),1,1,-12.99,1
Maine (2nd district),1,1,8.03,1
Maryland,1,1,-23,10
Massachusetts,1,1,-23,11
Michigan,1,1,-6,16
Minnesota,1,1,-1,10
Mississippi,1,1,15,6
Missouri,1,1,21,10
Montana,1,1,18,3
Nebraska (statewide),1,1,25,2
Nebraska (1st district),1,1,20.65,1
Nebraska (2nd district),1,1,4.75,1
Nebraska (3rd district),1,1,51.41,1
Nevada,1,1,1,6
New Hampshire,1,1,1,4
New Jersey,1,1,-11,14
New Mexico,1,1,-8,5
New York,1,1,-22,29
North Carolina,1,1,4,15
North Dakota,1,1,34,3
Ohio,1,1,6,18
Oklahoma,1,1,33,7
Oregon,1,1,-7,7
Pennsylvania,1,1,1,20
Rhode Island,1,1,-24,4
South Carolina,1,1,16,9
South Dakota,1,1,28,3
Tennessee,1,1,28,11
Texas,1,1,17,38
Utah,1,1,30,6
Vermont,1,1,-24,3
Virginia,1,1,-7,13
Washington,1,1,-15,12
West Virginia,1,1,33,5
Wisconsin,1,1,3,10
Wyoming,1,1,45,3
