state,id,col,row,rlean,electors
Alabama,Alabama1,1,1,27,9
Alaska,Alaska1,1,1,16,3
Arizona,Arizona1,1,1,8,11
Arkansas,Arkansas1,1,1,26,6
California,California1,1,1,-22,55
Colorado,Colorado1,1,1,0,9
Connecticut,Connecticut1,1,1,-10,7
Delaware,Delaware1,1,1,-12,3
Florida,Florida1,1,1,6,29
Georgia,Georgia1,1,1,13,16
Hawaii,Hawaii1,1,1,-36,4
Idaho,Idaho1,1,1,33,4
Illinois,Illinois1,1,1,-13,20
Indiana,Indiana1,1,1,17,11
Iowa,Iowa1,1,1,9,6
Kansas,Kansas1,1,1,21,6
Kentucky,Kentucky1,1,1,24,8
Louisiana,Louisiana1,1,1,19,8
Maine,Maine1,1,1,-3,4
Maryland,Maryland1,1,1,-23,10
Massachusetts,Massachusetts1,1,1,-23,11
Michigan,Michigan1,1,1,-6,16
Minnesota,Minnesota1,1,1,-1,10
Mississippi,Mississippi1,1,1,15,6
Missouri,Missouri1,1,1,21,10
Montana,Montana1,1,1,18,3
Nebraska,Nebraska1,1,1,25,5
Nevada,Nevada1,1,1,1,6
New Hampshire,New Hampshire1,1,1,1,4
New Jersey,New Jersey1,1,1,-11,14
New Mexico,New Mexico1,1,1,-8,5
New York,New York1,1,1,-22,29
North Carolina,North Carolina1,1,1,4,15
North Dakota,North Dakota1,1,1,34,3
Ohio,Ohio1,1,1,6,18
Oklahoma,Oklahoma1,1,1,33,7
Oregon,Oregon1,1,1,-7,7
Pennsylvania,Pennsylvania1,1,1,1,20
Rhode Island,Rhode Island1,1,1,-24,4
South Carolina,South Carolina1,1,1,16,9
South Dakota,South Dakota1,1,1,28,3
Tennessee,Tennessee1,1,1,28,11
Texas,Texas1,1,1,17,38
Utah,Utah1,1,1,30,6
Vermont,Vermont1,1,1,-24,3
Virginia,Virginia1,1,1,-7,13
Washington,Washington1,1,1,-15,12
West Virginia,West Virginia1,1,1,33,5
Wisconsin,Wisconsin1,1,1,3,10
Wyoming,Wyoming1,1,1,45,3
Alabama,Alabama2,1,1,27,9
Alaska,Alaska2,1,1,16,3
Arizona,Arizona2,1,1,8,11
Arkansas,Arkansas2,1,1,26,6
California,California2,1,1,-22,55
Colorado,Colorado2,1,1,0,9
Connecticut,Connecticut2,1,1,-10,7
Delaware,Delaware2,1,1,-12,3
Florida,Florida2,1,1,6,29
Georgia,Georgia2,1,1,13,16
Hawaii,Hawaii2,1,1,-36,4
Idaho,Idaho2,1,1,33,4
Illinois,Illinois2,1,1,-13,20
Indiana,Indiana2,1,1,17,11
Iowa,Iowa2,1,1,9,6
Kansas,Kansas2,1,1,21,6
Kentucky,Kentucky2,1,1,24,8
Louisiana,Louisiana2,1,1,19,8
Maine,Maine2,1,1,-3,4
Maryland,Maryland2,1,1,-23,10
Massachusetts,Massachusetts2,1,1,-23,11
Michigan,Michigan2,1,1,-6,16
Minnesota,Minnesota2,1,1,-1,10
Mississippi,Mississippi2,1,1,15,6
Missouri,Missouri2,1,1,21,10
Montana,Montana2,1,1,18,3
Nebraska,Nebraska2,1,1,25,5
Nevada,Nevada2,1,1,1,6
New Hampshire,New Hampshire2,1,1,1,4
New Jersey,New Jersey2,1,1,-11,14
New Mexico,New Mexico2,1,1,-8,5
New York,New York2,1,1,-22,29
North Carolina,North Carolina2,1,1,4,15
North Dakota,North Dakota2,1,1,34,3
Ohio,Ohio2,1,1,6,18
Oklahoma,Oklahoma2,1,1,33,7
Oregon,Oregon2,1,1,-7,7
Pennsylvania,Pennsylvania2,1,1,1,20
Rhode Island,Rhode Island2,1,1,-24,4
South Carolina,South Carolina2,1,1,16,9
South Dakota,South Dakota2,1,1,28,3
Tennessee,Tennessee2,1,1,28,11
Texas,Texas2,1,1,17,38
Utah,Utah2,1,1,30,6
Vermont,Vermont2,1,1,-24,3
Virginia,Virginia2,1,1,-7,13
Washington,Washington2,1,1,-15,12
West Virginia,West Virginia2,1,1,33,5
Wisconsin,Wisconsin2,1,1,3,10
Wyoming,Wyoming2,1,1,45,3
